example_id                                                              | status | run_time        |
----------------------------------------------------------------------- | ------ | --------------- |
./spec/integration/repositories/company_price_close_repo_spec.rb[1:1:1] | passed | 0.03747 seconds |
./spec/integration/repositories/company_repo_spec.rb[1:1:1]             | passed | 0.06403 seconds |
./spec/integration/repositories/company_repo_spec.rb[1:2:1:1]           | passed | 0.0787 seconds  |
./spec/integration/repositories/company_repo_spec.rb[1:2:2:1]           | passed | 0.00476 seconds |
./spec/integration/repositories/company_score_repo_spec.rb[1:1:1]       | passed | 0.03478 seconds |
./spec/requests/results/index_spec.rb[1:1:1]                            | passed | 0.02986 seconds |
./spec/requests/results/index_spec.rb[1:2:1:1]                          | passed | 0.26634 seconds |
./spec/requests/results/index_spec.rb[1:2:2:1]                          | passed | 0.09109 seconds |
